,Country,nbr
0,United States,11455
1,India,5197
2,United Kingdom,4395
3,Germany,4143
4,Canada,2233
5,France,1740
6,Poland,1290
7,Australia,913
8,Russian Federation,873
9,Spain,864
10,Netherlands,855
11,Italy,781
12,Brazil,777
13,Sweden,611
14,Switzerland,595
15,Israel,575
16,Romania,561
17,Iran,507
18,Austria,477
19,Pakistan,454
20,Czech Republic,411
21,Belgium,404
22,South Africa,380
23,Turkey,363
24,Ukraine,356
25,Mexico,351
26,Ireland,345
27,Hungary,332
28,Philippines,328
29,Slovenia,303
30,Denmark,300
31,Greece,298
32,Indonesia,289
33,Finland,287
34,Portugal,271
35,Norway,259
36,Bulgaria,258
37,Argentina,255
38,New Zealand,252
39,Japan,248
40,China,239
41,Serbia,228
42,Malaysia,192
43,Bangladesh,184
44,Singapore,177
45,Lithuania,176
46,Croatia,172
47,Nigeria,171
48,Sri Lanka,170
49,Slovak Republic,170
50,South Korea,164
51,Colombia,149
52,I prefer not to say,140
53,Egypt,134
54,Nepal,125
55,Hong Kong,122
56,Vietnam,121
57,Thailand,119
58,Chile,111
59,Latvia,98
60,United Arab Emirates,98
61,Kenya,95
62,Taiwan,91
63,Belarus,91
64,Estonia,90
65,Uruguay,78
66,Albania,76
67,Bosnia-Herzegovina,66
68,Peru,65
69,Dominican Republic,65
70,Moldavia,65
71,Morocco,63
72,Afghanistan,60
73,Venezuela,59
74,Tunisia,56
75,Macedonia,56
76,Lebanon,56
77,Costa Rica,54
78,Ghana,53
79,Saudi Arabia,52
80,Armenia,51
81,Malta,46
82,Georgia,46
83,Jordan,43
84,Algeria,41
85,Guatemala,38
86,Ethiopia,37
87,Ecuador,36
88,Myanmar,35
89,Kazakhstan,34
90,Cuba,33
91,Iceland,33
92,Luxembourg,33
93,Cyprus,28
94,Uganda,28
95,Uzbekistan,28
96,Azerbaidjan,27
97,Bolivia,23
98,Paraguay,22
99,Panama,22
100,Mongolia,22
101,Aland Islands,22
102,El Salvador,21
103,Puerto Rico,20
104,Zimbabwe,20
105,Jamaica,20
106,Cambodia,19
107,Tanzania,17
108,Mauritius,17
109,Trinidad and Tobago,15
110,Nicaragua,14
111,Syria,13
112,Rwanda,12
113,Sudan,12
114,Kuwait,12
115,Montenegro,12
116,Cameroon,12
117,Bahrain,12
118,Iraq,11
119,Qatar,11
120,Antarctica,11
121,Honduras,11
122,Kyrgyzstan,11
123,Zambia,10
124,Angola,9
125,Madagascar,8
126,Mozambique,8
127,Togo,7
128,Brunei Darussalam,7
129,Botswana,7
130,New Caledonia (French),7
131,Andorra,6
132,Liechtenstein,6
133,North Korea,6
134,Senegal,5
135,Virgin Islands (USA),5
136,American Samoa,5
137,Somalia,5
138,Oman,5
139,U.S. Minor Outlying Islands,4
140,Guyana,4
141,Reunion (French),4
142,Libya,4
143,Namibia,4
144,Belize,4
145,Haiti,4
146,Yemen,3
147,Fiji,3
148,Netherlands Antilles,3
149,Niger,3
150,Barbados,3
151,Swaziland,3
152,Ivory Coast (Cote D'Ivoire),3
153,Antigua and Barbuda,3
154,Anguilla,2
155,Eritrea,2
156,Zaire,2
157,Malawi,2
158,Virgin Islands (British),2
159,Benin,2
160,Martinique (French),2
161,Cayman Islands,2
162,Burundi,2
163,Suriname,2
164,Laos,2
165,Bhutan,2
166,Aruba,2
167,Tadjikistan,2
168,Polynesia (French),2
169,Saint Lucia,2
170,Bouvet Island,2
171,Bermuda,2
172,Saint Vincent & Grenadines,2
173,Chad,1
174,British Indian Ocean Territory,1
175,Djibouti,1
176,Northern Mariana Islands,1
177,Comoros,1
178,Saint Helena,1
179,Montserrat,1
180,Macau,1
181,French Guyana,1
182,Lesotho,1
183,Pitcairn Island,1
184,Bahamas,1
185,Gabon,1
186,Turkmenistan,1
187,S. Georgia & S. Sandwich Isls.,1
188,Christmas Island,1
189,Monaco,1
190,Cape Verde,1
191,Gibraltar,1
192,Guam,1
193,Guinea,1
194,Seychelles,1
195,Vatican City State,1
196,Cook Islands,1
197,Falkland Islands,1
198,Heard and McDonald Islands,1
199,Burkina Faso,1
200,Mali,1
